stock_company,stock_code
ISKANDAR WATERFRONT CITY BERHAD,1589.KL
IVORY PROPERTIES GROUP BERHAD,5175.KL
JADE MARVEL GROUP BERHAD,7043.KL
JADI IMAGING HOLDINGS BERHAD,7223.KL
JAG BERHAD,0024.KL
JAKS RESOURCES BERHAD,4723.KL
JASA KITA BERHAD,8648.KL
JAYA TIASA HOLDINGS BHD,4383.KL
JAYCORP BERHAD,7152.KL
JCBNEXT BERHAD,0058.KL
JCY INTERNATIONAL BERHAD,5161.KL
JENTAYU SUSTAINABLES BERHAD,5673.KL
JERASIA CAPITAL BERHAD,8931.KL
JF TECHNOLOGY BERHAD,0146.KL
JHM CONSOLIDATION BERHAD,0127.KL
JIANKUN INTERNATIONAL BERHAD,8923.KL
JISHAN BERHAD,03040.KL
JKG LAND BERHAD,6769.KL
JOE HOLDING BERHAD,7096.KL
JOHAN HOLDINGS BERHAD,3441.KL
K. SENG SENG CORPORATION BERHAD,5192.KL
KAMDAR GROUP (M) BERHAD,8672.KL
KANGER INTERNATIONAL BERHAD,0170.KL
KAREX BERHAD,5247.KL
KARYON INDUSTRIES BERHAD,0054.KL
KAWAN FOOD BERHAD,7216.KL
KECK SENG (MALAYSIA) BERHAD,3476.KL
KEIN HING INTERNATIONAL BERHAD,7199.KL
KEJURUTERAAN ASASTERA BERHAD,0193.KL
KELINGTON GROUP BERHAD,0151.KL
KEN HOLDINGS BERHAD,7323.KL
KENANGA INVESTMENT BANK BERHAD,6483.KL
KENANGA KLCI DAILY (-1X) INVERSE ETF,0835EA.KL
KENANGA KLCI DAILY 2X LEVERAGED ETF,0834EA.KL
KERJAYA PROSPEK GROUP BERHAD,7161.KL
KERJAYA PROSPEK PROPERTY BERHAD,7077.KL
KESM INDUSTRIES BERHAD,9334.KL
KEY ALLIANCE GROUP BERHAD,0036.KL
KEY ASIC BERHAD,0143.KL
KHEE SAN BERHAD,6203.KL
KHIND HOLDINGS BERHAD,7062.KL
KIA LIM BERHAD,6211.KL
KIM HIN INDUSTRY BERHAD,5371.KL
KIM HIN JOO (MALAYSIA) BERHAD,0210.KL
KIM LOONG RESOURCES BERHAD,5027.KL
KIM TECK CHEONG CONSOLIDATED BERHAD,0180.KL
KIMLUN CORPORATION BERHAD,5171.KL
KIP REAL ESTATE INVESTMENT TRUST,5280.KL
KKB ENGINEERING BERHAD,9466.KL
KLCC PROPERTY HOLDINGS BERHAD,5235SS.KL
KLUANG RUBBER COMPANY (MALAYA) BERHAD,2453.KL
KNM GROUP BERHAD,7164.KL
KNUSFORD BERHAD,5035.KL
KOBAY TECHNOLOGY BERHAD,6971.KL
KOMARKCORP BERHAD,7017.KL
K-ONE TECHNOLOGY BERHAD,0111.KL
KONSORTIUM TRANSNASIONAL BERHAD,4847.KL
KOSSAN RUBBER INDUSTRIES BERHAD,7153.KL
KOTRA INDUSTRIES BERHAD,0002.KL
KPJ HEALTHCARE BERHAD,5878.KL
KPOWER BERHAD,7130.KL
KPS CONSORTIUM BERHAD,9121.KL
KRETAM HOLDINGS BERHAD,1996.KL
KRONOLOGI ASIA BERHAD,0176.KL
KSL HOLDINGS BERHAD,5038.KL
KUALA LUMPUR KEPONG BERHAD,2445.KL
KUB MALAYSIA BERHAD,6874.KL
KUCHAI DEVELOPMENT BERHAD,2186.KL
KUMPULAN FIMA BERHAD,6491.KL
KUMPULAN H & L HIGH-TECH BERHAD,7033.KL
KUMPULAN JETSON BERHAD,9083.KL
KUMPULAN PERANGSANG SELANGOR BERHAD,5843.KL
